,bytes_read,bytes_written
1573,66,342
1574,66,342
1575,66,342
1576,609,342
1577,1152,1476
1578,66,443
1579,66,342
158,0,13
1580,66,342
1581,66,342
1582,66,342
1583,6553,8595
1584,1152,1291
1585,609,983
1586,4323,4752
1587,66,494
1588,1152,1428
1589,66,443
159,0,13
1590,66,342
1591,66,342
1592,66,342
1593,66,342
1594,66,342
1595,66,342
1596,66,342
1597,3867,4143
1598,66,447
1599,66,342
16,0,14
160,0,13
1600,66,342
1601,1152,1428
1602,66,443
1603,66,342
1604,1152,1428
1605,66,443
1606,66,342
1607,66,342
1608,3324,3600
1609,609,990
161,0,13
1610,1152,1523
1611,609,986
1612,609,980
1613,66,437
1614,4924,6966
1615,66,699
1616,66,342
1617,609,885
1618,66,437
1619,3867,4143
162,0,13
1620,0,169
1621,543,14
1622,0,62
1623,0,13
1624,0,13
1625,0,13
1626,0,556
1627,1086,1147
1628,0,116
1629,0,14
163,0,13
1630,0,13
1631,0,13
1632,0,13
1633,0,13
1634,1086,556
1635,543,655
1636,0,110
1637,0,14
1638,0,13
1639,0,13
164,0,13
1640,1086,1099
1641,0,116
1642,0,14
1643,543,13
1644,0,62
1645,5401,7183
1646,1086,1552
165,0,13
166,0,13
167,0,13
168,0,13
169,0,13
17,0,13
170,0,13
171,0,13
172,0,13
173,0,13
174,0,13
175,0,13
176,0,13
177,0,13
178,0,13
179,0,13
18,0,13
180,0,13
181,0,13
182,0,13
183,0,13
184,0,13
185,0,13
186,0,13
187,0,13
188,15515,17533
189,6516,8251
19,0,13
190,5430,7925
191,0,375
192,0,14
193,0,13
194,0,13
195,0,13
196,0,13
197,0,13
198,0,13
199,0,13
2,5973,8328
20,0,13
200,0,13
201,7602,8576
202,0,425
203,0,14
204,0,13
205,0,13
206,0,13
207,0,13
208,0,13
209,0,13
21,0,13
210,0,13
211,0,13
212,7602,8576
213,0,376
214,0,14
215,0,13
216,0,13
217,0,13
218,0,13
219,1086,2170
22,0,13
220,0,208
221,0,14
222,0,13
223,4858,6372
224,0,372
225,0,14
226,0,13
227,0,13
228,0,13
229,0,13
23,0,13
230,0,13
231,0,13
232,0,13
233,0,13
234,7602,8576
235,0,427
236,0,14
237,0,13
238,0,13
239,0,13
24,0,13
240,0,13
241,0,13
242,0,13
243,0,13
244,0,13
245,0,13
246,0,13
247,0,13
248,0,13
249,0,13
25,4344,5313
250,11258,14685
251,0,521
252,0,14
253,0,13
254,0,13
255,0,13
256,0,13
257,0,13
258,0,13
259,0,13
26,0,324
260,0,13
261,5973,6947
262,1086,1557
263,543,657
264,0,108
265,0,14
266,0,13
267,0,13
268,0,13
269,0,13
27,0,14
270,0,13
271,0,13
272,4344,5324
273,0,325
274,0,14
275,0,13
276,0,13
277,0,13
278,0,13
279,0,13
28,0,13
280,0,13
281,0,13
282,0,13
283,0,13
284,0,13
285,0,13
286,0,13
287,0,13
288,0,13
289,0,13
29,9231,11083
290,0,13
291,0,13
292,0,13
293,0,13
294,0,13
295,0,13
296,0,13
297,0,13
298,0,13
299,0,13
3,5973,7516
30,19005,459889
300,0,13
301,0,13
302,0,13
303,0,13
304,0,13
305,0,13
306,0,13
307,0,13
308,0,13
309,0,13
31,1679977,1222885
310,0,13
311,0,13
