,,bytes_control_header,bytes_control_header_retrans,bytes_data_header,bytes_data_header_retrans,bytes_data_payload,bytes_data_payload_retrans,bytes_total
server2~11.0.0.2,1122,0,0,0,0,0,0,0
server2~11.0.0.2,1123,0,0,0,0,0,0,0
server2~11.0.0.2,1124,0,0,0,0,0,0,0
server2~11.0.0.2,1125,0,0,0,0,0,0,0
server2~11.0.0.2,1126,0,0,0,0,0,0,0
server2~11.0.0.2,1127,0,0,0,0,0,0,0
server2~11.0.0.2,1128,0,0,0,0,0,0,0
server2~11.0.0.2,1129,0,0,0,0,0,0,0
server2~11.0.0.2,113,0,0,0,0,0,0,0
server2~11.0.0.2,1130,0,0,0,0,0,0,0
server2~11.0.0.2,1131,0,0,0,0,0,0,0
server2~11.0.0.2,1132,0,0,0,0,0,0,0
server2~11.0.0.2,1133,0,0,0,0,0,0,0
server2~11.0.0.2,1134,0,0,0,0,0,0,0
server2~11.0.0.2,1135,0,0,0,0,0,0,0
server2~11.0.0.2,1136,0,0,0,0,0,0,0
server2~11.0.0.2,1137,0,0,0,0,0,0,0
server2~11.0.0.2,1138,0,0,0,0,0,0,0
server2~11.0.0.2,1139,0,0,0,0,0,0,0
server2~11.0.0.2,114,0,0,0,0,0,0,0
server2~11.0.0.2,1140,0,0,0,0,0,0,0
server2~11.0.0.2,1141,0,0,0,0,0,0,0
server2~11.0.0.2,1142,0,0,0,0,0,0,0
server2~11.0.0.2,1143,0,0,0,0,0,0,0
server2~11.0.0.2,1144,0,0,0,0,0,0,0
server2~11.0.0.2,1145,0,0,0,0,0,0,0
server2~11.0.0.2,1146,0,0,0,0,0,0,0
server2~11.0.0.2,1147,0,0,0,0,0,0,0
server2~11.0.0.2,1148,0,0,0,0,0,0,0
server2~11.0.0.2,1149,0,0,0,0,0,0,0
server2~11.0.0.2,115,0,0,0,0,0,0,0
server2~11.0.0.2,1150,0,0,0,0,0,0,0
server2~11.0.0.2,1151,0,0,0,0,0,0,0
server2~11.0.0.2,1152,0,0,0,0,0,0,0
server2~11.0.0.2,1153,0,0,0,0,0,0,0
server2~11.0.0.2,1154,0,0,0,0,0,0,0
server2~11.0.0.2,1155,0,0,0,0,0,0,0
server2~11.0.0.2,1156,0,0,0,0,0,0,0
server2~11.0.0.2,1157,0,0,0,0,0,0,0
server2~11.0.0.2,1158,0,0,0,0,0,0,0
server2~11.0.0.2,1159,0,0,0,0,0,0,0
server2~11.0.0.2,116,0,0,0,0,0,0,0
server2~11.0.0.2,1160,0,0,0,0,0,0,0
server2~11.0.0.2,1161,0,0,0,0,0,0,0
server2~11.0.0.2,1162,0,0,0,0,0,0,0
server2~11.0.0.2,1163,0,0,0,0,0,0,0
server2~11.0.0.2,1164,0,0,0,0,0,0,0
server2~11.0.0.2,1165,0,0,0,0,0,0,0
server2~11.0.0.2,1166,0,0,0,0,0,0,0
server2~11.0.0.2,1167,0,0,0,0,0,0,0
server2~11.0.0.2,1168,0,0,0,0,0,0,0
server2~11.0.0.2,1169,0,0,0,0,0,0,0
server2~11.0.0.2,117,0,0,0,0,0,0,0
server2~11.0.0.2,1170,0,0,0,0,0,0,0
server2~11.0.0.2,1171,0,0,0,0,0,0,0
server2~11.0.0.2,1172,0,0,0,0,0,0,0
server2~11.0.0.2,1173,0,0,0,0,0,0,0
server2~11.0.0.2,1174,0,0,0,0,0,0,0
server2~11.0.0.2,1175,0,0,0,0,0,0,0
server2~11.0.0.2,1176,0,0,0,0,0,0,0
server2~11.0.0.2,1177,0,0,0,0,0,0,0
server2~11.0.0.2,1178,0,0,0,0,0,0,0
server2~11.0.0.2,1179,0,0,0,0,0,0,0
server2~11.0.0.2,118,0,0,0,0,0,0,0
server2~11.0.0.2,1180,0,0,0,0,0,0,0
server2~11.0.0.2,1181,0,0,0,0,0,0,0
server2~11.0.0.2,1182,0,0,0,0,0,0,0
server2~11.0.0.2,1183,0,0,0,0,0,0,0
server2~11.0.0.2,1184,0,0,0,0,0,0,0
server2~11.0.0.2,1185,0,0,0,0,0,0,0
server2~11.0.0.2,1186,0,0,0,0,0,0,0
server2~11.0.0.2,1187,0,0,0,0,0,0,0
server2~11.0.0.2,1188,0,0,0,0,0,0,0
server2~11.0.0.2,1189,0,0,0,0,0,0,0
server2~11.0.0.2,119,0,0,0,0,0,0,0
server2~11.0.0.2,1190,0,0,0,0,0,0,0
server2~11.0.0.2,1191,0,0,0,0,0,0,0
server2~11.0.0.2,1192,0,0,0,0,0,0,0
server2~11.0.0.2,1193,0,0,0,0,0,0,0
