,bytes_read,bytes_written
1626,0,61
1627,0,13
1628,0,556
1629,0,61
163,0,13
1630,5973,5443
1631,0,218
1632,0,14
1633,0,13
1634,0,13
1635,0,13
1636,1086,556
1637,0,113
1638,543,557
1639,0,65
164,0,13
1640,0,13
1641,5430,5443
1642,0,171
1643,0,557
1644,543,61
1645,5401,7232
1646,0,417
1647,543,557
1648,1600,2282
1649,1629,1838
165,0,13
1650,0,118
1651,0,14
1652,0,13
1653,543,13
1654,0,62
1655,543,13
1656,0,605
1657,0,61
1658,0,556
1659,0,61
166,0,13
1660,0,13
1661,543,13
1662,543,62
1663,0,62
1664,0,13
1665,543,13
1666,0,62
1667,543,13
1668,0,62
1669,0,13
167,0,13
1670,0,556
1671,543,604
1672,0,110
1673,0,14
1674,0,13
1675,0,13
1676,9687,11658
1677,7059,8620
1678,5430,6391
1679,5915,6345
168,0,13
1680,3229,3573
1681,0,710
1682,0,61
1683,0,13
1684,0,13
1685,0,13
1686,0,556
1687,0,1147
1688,0,109
1689,543,14
169,0,13
1690,0,62
1691,543,13
1692,543,605
1693,0,110
1694,0,14
1695,0,556
1696,0,61
1697,0,556
1698,0,604
1699,543,61
17,0,13
170,0,13
1700,0,62
1701,0,13
1702,0,13
1703,0,556
1704,0,604
1705,0,61
1706,0,556
1707,8000,10935
1708,543,417
1709,0,63
171,0,13
1710,4315,4871
1711,543,809
1712,543,110
1713,543,63
1714,0,62
1715,543,13
1716,543,62
1717,543,62
1718,4344,5367
1719,0,325
172,0,13
1720,543,14
1721,0,62
1722,0,556
1723,0,604
1724,543,61
1725,0,62
1726,0,13
1727,14827,13424
1728,7942,8704
1729,7602,9317
173,0,13
1730,0,472
1731,543,14
1732,543,62
1733,0,62
1734,0,13
1735,0,13
1736,0,13
1737,0,556
1738,1086,2498
1739,0,752
174,0,13
1740,1086,2154
1741,7544,7780
1742,0,459
1743,0,14
1744,0,13
1745,0,13
1746,0,556
1747,1600,2815
1748,0,69
1749,0,1099
175,0,13
1750,0,109
1751,0,14
1752,0,13
1753,0,13
1754,0,556
1755,543,61
1756,0,605
1757,0,61
1758,0,556
1759,0,61
176,0,13
1760,0,13
1761,543,13
1762,0,62
1763,0,556
1764,0,61
1765,0,556
1766,0,61
1767,0,13
1768,1301,351
1769,1841,1743
177,0,13
1770,66,487
1771,66,342
1772,4895,5229
1773,1152,1630
1774,609,986
1775,66,437
1776,609,342
1777,66,390
1778,66,1428
1779,66,437
178,0,13
1780,609,342
1781,66,390
1782,609,342
1783,66,390
1784,66,885
1785,66,389
1786,66,342
1787,66,885
1788,66,389
1789,66,342
179,0,13
1790,1152,342
1791,66,438
1792,66,342
1793,66,342
1794,66,885
1795,66,932
1796,609,389
1797,66,390
1798,66,342
1799,66,342
18,0,13
180,0,13
1800,1152,2781
1801,609,1170
1802,66,438
1803,8522,7857
1804,66,592
1805,609,342
1806,66,390
1807,66,885
1808,66,389
1809,66,342
181,0,13
1810,66,885
1811,66,389
1812,66,885
1813,66,389
1814,3324,4114
1815,2238,2715
1816,66,539
1817,66,885
1818,66,389
1819,66,342
182,0,13
1820,609,342
1821,66,390
1822,66,342
1823,609,342
1824,609,390
1825,5496,6334
1826,66,549
1827,66,342
1828,66,342
1829,66,342
183,0,13
1830,66,342
1831,1695,1693
1832,66,580
1833,66,885
1834,3838,4190
1835,609,1130
1836,6524,6954
1837,66,549
1838,66,342
1839,609,342
184,0,13
1840,66,390
1841,609,885
1842,66,437
1843,66,342
1844,66,342
1845,609,342
1846,66,933
1847,3867,3647
1848,22777,20372
1849,6379,7002
185,0,13
1850,66,447
1851,66,342
1852,609,342
1853,66,390
1854,609,342
1855,66,390
1856,66,885
1857,66,389
1858,66,342
1859,609,342
186,0,13
1860,66,390
1861,66,342
1862,11382,14728
1863,4953,6821
1864,4410,6672
1865,6524,7165
1866,1695,2289
1867,1695,2074
1868,66,988
1869,66,389
187,0,13
1870,609,342
1871,66,390
1872,66,885
1873,66,389
1874,66,342
1875,609,885
1876,66,392
1877,1152,342
1878,66,438
1879,66,342
188,10715,14777
1880,66,342
1881,66,342
1882,66,885
1883,609,389
1884,66,390
1885,66,885
1886,66,389
1887,66,885
1888,66,389
1889,609,342
189,2715,4445
1890,66,933
1891,66,389
1892,66,342
1893,609,2779
1894,66,533
1895,66,885
1896,3838,4190
1897,66,541
1898,66,342
1899,66,885
19,0,13
190,4344,5745
1900,66,389
1901,609,342
1902,66,390
1903,66,342
1904,66,885
1905,609,389
1906,66,390
1907,66,342
1908,609,885
1909,11237,12151
191,0,274
1910,5496,5485
1911,4924,6010
1912,267212,267611
1913,267212,267601
1914,531158,527406
1915,63412,67429
1916,66,498
1917,66,342
1918,609,885
1919,66,437
192,0,14
1920,66,342
1921,66,885
1922,609,389
1923,66,390
1924,6524,10157
1925,6582,8230
1926,1152,2423
1927,533417,533899
1928,274437,275028
1929,267154,267574
193,0,13
1930,59213,59602
1931,66,994
1932,66,389
1933,66,885
1934,66,389
1935,66,342
1936,609,342
1937,66,933
1938,609,389
1939,1695,2019
194,0,13
1940,267183,267533
1941,267125,267543
1942,526387,526834
1943,67553,68485
1944,609,1041
1945,1152,2067
1946,526416,526840
1947,274980,275398
1948,267813,267546
1949,59727,60116
195,0,13
1950,66,451
1951,66,342
1952,609,885
1953,609,437
1954,66,390
1955,66,342
1956,1152,1428
1957,267697,269189
1958,273670,274211
1959,281691,282258
196,0,13
1960,311793,312211
1961,66,998
1962,66,389
1963,66,885
1964,609,389
1965,66,390
1966,609,342
1967,66,390
1968,66,342
1969,4779,2611
197,0,13
1970,609,939
1971,1152,2066
1972,286947,287885
1973,516136,516701
1974,267183,267545
1975,59213,59602
1976,66,994
1977,66,389
1978,66,885
1979,609,932
198,0,13
1980,269023,268949
1981,267689,267274
1982,267117,267835
1983,326293,326497
1984,0,128
1985,0,14
1986,543,556
1987,0,653
1988,543,61
1989,7001,6578
199,0,13
1990,1086,1403
1991,543,658
1992,543,653
1993,1629,1739
1994,267117,267298
