time,bytes_read,bytes_written
1571,0,13
1572,0,13
1573,0,556
1574,543,61
1575,0,62
1576,0,13
1577,0,556
1578,0,61
1579,0,673
158,0,13
1580,0,61
1581,0,13
1582,6516,3814
1583,0,359
1584,0,14
1585,5401,1613
1586,543,167
1587,0,606
1588,0,61
1589,0,13
159,0,13
1590,0,673
1591,2172,61
1592,0,701
1593,0,61
1594,0,13
1595,0,13
1596,1629,1642
1597,543,116
1598,0,1149
1599,0,109
16,0,13
160,0,13
1600,0,14
1601,543,130
1602,0,63
1603,543,556
1604,0,653
1605,30081,29686
1606,19540,17340
1607,4887,4568
1608,1629,1305
1609,1086,1248
161,0,13
1610,543,659
1611,0,110
1612,0,131
1613,6487,3786
1614,0,897
1615,0,61
1616,2715,556
1617,0,208
1618,4315,1614
1619,2172,709
162,0,129
1620,543,161
1621,0,606
1622,0,61
1623,0,130
1624,0,557
1625,0,61
1626,0,13
1627,543,13
1628,0,605
1629,1629,1690
163,0,14
1630,543,118
1631,543,63
1632,0,605
1633,0,604
1634,0,178
1635,0,557
1636,0,61
1637,0,13
1638,0,13
1639,0,556
164,0,13
1640,543,61
1641,1629,1148
1642,0,660
1643,0,61
1644,6516,3271
1645,0,428
165,0,13
166,0,13
167,0,13
168,0,13
169,0,13
17,0,13
170,0,13
171,0,13
172,0,13
173,0,129
174,0,14
175,0,13
176,0,13
177,0,13
178,0,13
179,0,13
18,0,13
180,0,13
181,0,13
182,0,13
183,0,13
184,0,129
185,0,14
186,0,13
187,15631,11151
188,8145,9762
189,3801,5307
19,0,13
190,543,323
191,0,604
192,0,59
193,0,13
194,0,13
195,0,13
196,0,13
197,0,13
198,0,13
199,0,13
2,4344,4857
20,0,13
200,3258,2844
201,543,263
202,0,604
203,0,59
204,0,13
205,0,13
206,0,13
207,0,13
208,0,13
209,0,13
21,0,13
210,0,13
211,3258,3358
212,0,263
213,0,14
214,0,13
215,0,13
216,0,13
217,0,13
218,3258,13
219,0,157
22,0,13
220,0,14
221,0,13
222,6516,3358
223,0,310
224,0,14
225,0,13
226,0,13
227,0,13
228,0,13
229,0,13
23,0,128
230,0,13
231,0,13
232,0,13
233,2715,2844
234,543,216
235,0,604
236,0,59
237,0,13
238,0,13
239,0,13
24,2715,2729
240,0,13
241,0,13
242,0,13
243,0,13
244,0,129
245,0,14
246,0,13
247,0,13
248,0,13
249,12489,3271
25,543,216
250,0,317
251,0,14
252,0,13
253,0,13
254,0,13
255,0,129
256,0,14
257,0,13
258,0,13
259,0,13
26,0,604
260,3258,3271
261,0,216
262,0,14
263,0,13
264,0,13
265,0,13
266,0,129
267,0,14
268,0,13
269,0,13
27,0,59
270,0,13
271,3258,3271
272,0,263
273,0,14
274,0,13
275,0,13
276,0,13
277,0,129
278,0,14
279,0,13
28,1629,2135
280,0,13
281,0,13
282,0,13
283,0,13
284,0,13
285,0,13
286,0,13
287,0,13
288,0,129
289,0,14
29,5973,10437
290,0,13
291,0,13
292,0,13
293,0,13
294,0,13
295,0,13
296,0,13
297,0,13
298,0,13
299,0,129
3,0,169
30,146174,530487
300,0,14
301,0,13
302,0,13
303,0,13
304,0,13
305,0,13
306,0,13
307,0,13
308,0,13
309,0,13
31,203323,886
310,0,129
311,0,14
312,0,13
313,0,13
314,0,13
315,0,13
316,0,13
317,0,13
318,0,13
319,0,13
32,179368,118
320,0,13
321,0,129
322,0,14
323,0,13
324,0,13
325,0,13
326,0,13
327,0,13
328,0,13
329,0,13
33,0,69
330,0,13
331,0,13
332,0,129
333,0,14
334,0,13
335,0,13
336,0,13
337,0,13
338,0,13
