time,bytes_read,bytes_written
816,0,13
817,543,13
818,0,61
819,0,13
82,0,13
820,0,13
821,0,13
822,0,556
823,0,60
824,0,13
825,0,556
826,0,60
827,0,13
828,0,13
829,0,13
83,0,13
830,0,13
831,0,13
832,0,13
833,0,556
834,1629,4985
835,0,222
836,0,14
837,0,13
838,0,13
839,0,13
84,0,556
840,0,13
841,0,13
842,543,13
843,0,61
844,0,13
845,543,1357
846,543,959
847,543,714
848,0,207
849,0,14
85,0,60
850,0,13
851,0,13
852,0,13
853,0,13
854,0,13
855,543,13
856,1629,2648
857,0,222
858,0,14
859,0,13
86,0,13
860,543,13
861,0,61
862,0,13
863,0,13
864,543,13
865,0,1399
866,0,61
867,1629,3631
868,0,222
869,0,14
87,0,13
870,0,13
871,0,13
872,0,556
873,0,60
874,0,13
875,0,13
876,0,13
877,0,556
878,1629,2650
879,0,222
88,0,13
880,0,14
881,0,13
882,0,13
883,0,13
884,0,13
885,543,13
886,0,61
887,0,13
888,0,13
889,543,1357
89,0,13
890,1086,1458
891,0,220
892,0,14
893,0,13
894,0,556
9,0,13
90,0,13
91,0,13
92,543,13
93,0,61
94,0,13
95,0,13
96,0,13
97,0,556
98,0,60
99,0,13
